Category,Title,Review Count,Lesson Count,Price,Stars,Text For Embedding
All Courses,Frameworks for Effective Problem Solving,0,18 Lessons,Free,0,All Courses | Frameworks for Effective Problem Solving | 18 Lessons | Free
All Courses,Anyone can Build AI Agents - Free Course,1,5 Lessons,Free,1,All Courses | Anyone can Build AI Agents - Free Course | 5 Lessons | Free
All Courses,A Comprehensive Learning Path to Become a Data Analyst in 2025,0,298 Lessons,Free,0,All Courses | A Comprehensive Learning Path to Become a Data Analyst in 2025 | 298 Lessons | Free
All Courses,Reimagining GenAI: Common Mistakes and Best Practices for Success,0,6 Lessons,Free,0,All Courses | Reimagining GenAI: Common Mistakes and Best Practices for Success | 6 Lessons | Free
All Courses,Coding a ChatGPT-style Language Model from Scratch in PyTorch,5,7 Lessons,Free,5,All Courses | Coding a ChatGPT-style Language Model from Scratch in PyTorch | 7 Lessons | Free
All Courses,Mastering Multilingual GenAI Open-Weights for Indic Languages,0,9 Lessons,Free,0,All Courses | Mastering Multilingual GenAI Open-Weights for Indic Languages | 9 Lessons | Free
All Courses,Learning Autonomous Driving Behaviors with LLMs & RL,1,6 Lessons,Free,1,All Courses | Learning Autonomous Driving Behaviors with LLMs & RL | 6 Lessons | Free
All Courses,GenAI Applied to Quantitative Finance: For Control Implementation,1,5 Lessons,Free,1,All Courses | GenAI Applied to Quantitative Finance: For Control Implementation | 5 Lessons | Free
All Courses,"Navigating LLM Tradeoffs: Techniques for Speed, Cost, Scale & Accuracy",0,6 Lessons,Free,0,"All Courses | Navigating LLM Tradeoffs: Techniques for Speed, Cost, Scale & Accuracy | 6 Lessons | Free"
All Courses,Creating Problem-Solving Agents using GenAI for Action Composition,2,6 Lessons,Free,2,All Courses | Creating Problem-Solving Agents using GenAI for Action Composition | 6 Lessons | Free
All Courses,Improving Real World RAG Systems: Key Challenges & Practical Solutions,12,12 Lessons,Free,12,All Courses | Improving Real World RAG Systems: Key Challenges & Practical Solutions | 12 Lessons | Free
All Courses,Framework to Choose the Right LLM for your Business,4,6 Lessons,Free,4,All Courses | Framework to Choose the Right LLM for your Business | 6 Lessons | Free
All Courses,Building Smarter LLMs with Mamba and State Space Model,0,14 Lessons,Free,0,All Courses | Building Smarter LLMs with Mamba and State Space Model | 14 Lessons | Free
All Courses,Generative AI - A Way of Life - Free Course,22,31 Lessons,Free,22,All Courses | Generative AI - A Way of Life - Free Course | 31 Lessons | Free
All Courses,Building LLM Applications using Prompt Engineering - Free Course,11,18 Lessons,Free,11,All Courses | Building LLM Applications using Prompt Engineering - Free Course | 18 Lessons | Free
All Courses,Building Your First Computer Vision Model - Free Course,2,7 Lessons,Free,2,All Courses | Building Your First Computer Vision Model - Free Course | 7 Lessons | Free
All Courses,Bagging and Boosting ML Algorithms - Free Course,0,16 Lessons,Free,0,All Courses | Bagging and Boosting ML Algorithms - Free Course | 16 Lessons | Free
All Courses,MidJourney: From Inspiration to Implementation - Free Course,2,5 Lessons,Free,2,All Courses | MidJourney: From Inspiration to Implementation - Free Course | 5 Lessons | Free
All Courses,Understanding Linear Regression - Free Course,4,10 Lessons,Free,4,All Courses | Understanding Linear Regression - Free Course | 10 Lessons | Free
All Courses,The Working of Neural Networks - Free Course,0,11 Lessons,Free,0,All Courses | The Working of Neural Networks - Free Course | 11 Lessons | Free
All Courses,The A to Z of Unsupervised ML - Free Course,0,13 Lessons,Free,0,All Courses | The A to Z of Unsupervised ML - Free Course | 13 Lessons | Free
All Courses,Building Your first RAG System using LlamaIndex - Free Course,16,12 Lessons,Free,16,All Courses | Building Your first RAG System using LlamaIndex - Free Course | 12 Lessons | Free
All Courses,Data Preprocessing on a Real-World Problem Statement - Free Course,3,13 Lessons,Free,3,All Courses | Data Preprocessing on a Real-World Problem Statement - Free Course | 13 Lessons | Free
All Courses,Exploring Stability.AI - Free Course,2,7 Lessons,Free,2,All Courses | Exploring Stability.AI - Free Course | 7 Lessons | Free
All Courses,Building a Text Classification Model with Natural Language Processing - Free Course,1,16 Lessons,Free,1,All Courses | Building a Text Classification Model with Natural Language Processing - Free Course | 16 Lessons | Free
All Courses,Getting Started with Large Language Models,27,18 Lessons,Free,27,All Courses | Getting Started with Large Language Models | 18 Lessons | Free
All Courses,Introduction to Generative  AI,77,9 Lessons,Free,77,All Courses | Introduction to Generative  AI | 9 Lessons | Free
All Courses,Exploring Natural Language Processing (NLP) using Deep Learning,1,79 Lessons,Free,1,All Courses | Exploring Natural Language Processing (NLP) using Deep Learning | 79 Lessons | Free
All Courses,Getting Started with Deep Learning,4,299 Lessons,Free,4,All Courses | Getting Started with Deep Learning | 299 Lessons | Free
All Courses,Nano Course: Dreambooth-Stable Diffusion for Custom Images,1,13 Lessons,Free,1,All Courses | Nano Course: Dreambooth-Stable Diffusion for Custom Images | 13 Lessons | Free
All Courses,A Comprehensive Learning Path for Deep Learning in 2023,0,72 Lessons,Free,0,All Courses | A Comprehensive Learning Path for Deep Learning in 2023 | 72 Lessons | Free
All Courses,A Comprehensive Learning Path to Become a Data Scientist in 2024,6,389 Lessons,Free,6,All Courses | A Comprehensive Learning Path to Become a Data Scientist in 2024 | 389 Lessons | Free
All Courses,Nano Course: Building Large Language Models for Code,17,10 Lessons,Free,17,All Courses | Nano Course: Building Large Language Models for Code | 10 Lessons | Free
All Courses,Nano Course: Cutting Edge LLM Tricks,0,12 Lessons,Free,0,All Courses | Nano Course: Cutting Edge LLM Tricks | 12 Lessons | Free
All Courses,Certified AI & ML BlackBelt+ Program,0,,"$1,699.00",0,"All Courses | Certified AI & ML BlackBelt+ Program | nan | $1,699.00"
All Courses,Machine Learning Summer Training,82,263 Lessons,Free,82,All Courses | Machine Learning Summer Training | 263 Lessons | Free
All Courses,AI Ethics by Fractal,0,5 Lessons,$20.00,0,All Courses | AI Ethics by Fractal | 5 Lessons | $20.00
All Courses,A Comprehensive Learning Path to Become a Data Engineer in 2022,1,204 Lessons,Free,1,All Courses | A Comprehensive Learning Path to Become a Data Engineer in 2022 | 204 Lessons | Free
All Courses,Certified Business Analytics Program,0,,$280.00,0,All Courses | Certified Business Analytics Program | nan | $280.00
All Courses,Certified Machine Learning Master's Program (MLMP),0,,$330.00,0,All Courses | Certified Machine Learning Master's Program (MLMP) | nan | $330.00
All Courses,Certified Natural Language Processing Master’s Program,0,,$250.00,0,All Courses | Certified Natural Language Processing Master’s Program | nan | $250.00
All Courses,Certified Computer Vision Master's Program,0,,$230.00,0,All Courses | Certified Computer Vision Master's Program | nan | $230.00
All Courses,Applied Machine Learning - Beginner to Professional,100,612 Lessons,$250.00,100,All Courses | Applied Machine Learning - Beginner to Professional | 612 Lessons | $250.00
All Courses,Ace Data Science Interviews,29,59 Lessons,$60.00,29,All Courses | Ace Data Science Interviews | 59 Lessons | $60.00
All Courses,Writing Powerful Data Science Articles,56,6 Lessons,Free,56,All Courses | Writing Powerful Data Science Articles | 6 Lessons | Free
All Courses,Machine Learning Certification Course for Beginners,536,261 Lessons,Free,536,All Courses | Machine Learning Certification Course for Beginners | 261 Lessons | Free
All Courses,Data Science Career Conclave,0,6 Lessons,Free,0,All Courses | Data Science Career Conclave | 6 Lessons | Free
All Courses,Top Data Science Projects for Analysts and Data Scientists,26,36 Lessons,Free,26,All Courses | Top Data Science Projects for Analysts and Data Scientists | 36 Lessons | Free
All Courses,Getting Started with Git and GitHub for Data Science Professionals,128,20 Lessons,Free,128,All Courses | Getting Started with Git and GitHub for Data Science Professionals | 20 Lessons | Free
All Courses,Machine Learning Starter Program,0,,Free,0,All Courses | Machine Learning Starter Program | nan | Free
All Courses,"Data Science Hacks, Tips and Tricks",92,37 Lessons,Free,92,"All Courses | Data Science Hacks, Tips and Tricks | 37 Lessons | Free"
All Courses,Introduction to Business Analytics,425,33 Lessons,Free,425,All Courses | Introduction to Business Analytics | 33 Lessons | Free
All Courses,Introduction to PyTorch for Deep Learning,64,28 Lessons,Free,64,All Courses | Introduction to PyTorch for Deep Learning | 28 Lessons | Free
All Courses,Introductory Data Science for Business Managers,0,,$230.00,0,All Courses | Introductory Data Science for Business Managers | nan | $230.00
All Courses,Introduction to Natural Language Processing,524,21 Lessons,Free,524,All Courses | Introduction to Natural Language Processing | 21 Lessons | Free
All Courses,Getting started with Decision Trees,253,20 Lessons,Free,253,All Courses | Getting started with Decision Trees | 20 Lessons | Free
All Courses,Introduction to Python,1587,69 Lessons,Free,1587,All Courses | Introduction to Python | 69 Lessons | Free
All Courses,Loan Prediction Practice Problem (Using Python),359,16 Lessons,Free,359,All Courses | Loan Prediction Practice Problem (Using Python) | 16 Lessons | Free
All Courses,Big Mart Sales Prediction Using R,80,19 Lessons,Free,80,All Courses | Big Mart Sales Prediction Using R | 19 Lessons | Free
All Courses,Twitter Sentiment Analysis,127,18 Lessons,Free,127,All Courses | Twitter Sentiment Analysis | 18 Lessons | Free
All Courses,Pandas for Data Analysis in Python,607,27 Lessons,Free,607,All Courses | Pandas for Data Analysis in Python | 27 Lessons | Free
All Courses,Support Vector Machine (SVM) in Python and R,117,13 Lessons,Free,117,All Courses | Support Vector Machine (SVM) in Python and R | 13 Lessons | Free
All Courses,Evaluation Metrics for Machine Learning Models,89,25 Lessons,Free,89,All Courses | Evaluation Metrics for Machine Learning Models | 25 Lessons | Free
All Courses,Fundamentals of Regression Analysis,144,24 Lessons,Free,144,All Courses | Fundamentals of Regression Analysis | 24 Lessons | Free
All Courses,Getting Started with scikit-learn (sklearn) for Machine Learning,27,27 Lessons,Free,27,All Courses | Getting Started with scikit-learn (sklearn) for Machine Learning | 27 Lessons | Free
All Courses,Convolutional Neural Networks (CNN) from Scratch,167,17 Lessons,Free,167,All Courses | Convolutional Neural Networks (CNN) from Scratch | 17 Lessons | Free
All Courses,Dimensionality Reduction for Machine Learning,35,23 Lessons,Free,35,All Courses | Dimensionality Reduction for Machine Learning | 23 Lessons | Free
All Courses,K-Nearest Neighbors (KNN) Algorithm in Python and R,128,10 Lessons,Free,128,All Courses | K-Nearest Neighbors (KNN) Algorithm in Python and R | 10 Lessons | Free
All Courses,Ensemble Learning and Ensemble Learning Techniques,139,37 Lessons,Free,139,All Courses | Ensemble Learning and Ensemble Learning Techniques | 37 Lessons | Free
All Courses,Linear Programming for Data Science Professionals,17,20 Lessons,Free,17,All Courses | Linear Programming for Data Science Professionals | 20 Lessons | Free
All Courses,Naive Bayes from Scratch,69,19 Lessons,Free,69,All Courses | Naive Bayes from Scratch | 19 Lessons | Free
All Courses,Learn Swift for Data Science,4,21 Lessons,Free,4,All Courses | Learn Swift for Data Science | 21 Lessons | Free
All Courses,Introduction to Web Scraping using Python,96,13 Lessons,Free,96,All Courses | Introduction to Web Scraping using Python | 13 Lessons | Free
All Courses,Tableau for Beginners,240,17 Lessons,Free,240,All Courses | Tableau for Beginners | 17 Lessons | Free
All Courses,Getting Started with Neural Networks,213,45 Lessons,Free,213,All Courses | Getting Started with Neural Networks | 45 Lessons | Free
All Courses,Introduction to AI & ML,190,17 Lessons,Free,190,All Courses | Introduction to AI & ML | 17 Lessons | Free
All Courses,Winning Data Science Hackathons - Learn from Elite Data Scientists,3,7 Lessons,Free,3,All Courses | Winning Data Science Hackathons - Learn from Elite Data Scientists | 7 Lessons | Free
All Courses,Hypothesis Testing for Data Science and Analytics,19,19 Lessons,Free,19,All Courses | Hypothesis Testing for Data Science and Analytics | 19 Lessons | Free
Business Analytics,Introduction to Business Analytics,425,33 Lessons,Free,425,Business Analytics | Introduction to Business Analytics | 33 Lessons | Free
Business Analytics,Introduction to Python,1587,69 Lessons,Free,1587,Business Analytics | Introduction to Python | 69 Lessons | Free
Business Analytics,Microsoft Excel: Formulas & Functions,398,33 Lessons,Free,398,Business Analytics | Microsoft Excel: Formulas & Functions | 33 Lessons | Free
Deep Learning Courses,Certified Computer Vision Master's Program,0,,$230.00,0,Deep Learning Courses | Certified Computer Vision Master's Program | nan | $230.00
Deep Learning Courses,Introduction to PyTorch for Deep Learning,64,28 Lessons,Free,64,Deep Learning Courses | Introduction to PyTorch for Deep Learning | 28 Lessons | Free
Deep Learning Courses,Convolutional Neural Networks (CNN) from Scratch,167,17 Lessons,Free,167,Deep Learning Courses | Convolutional Neural Networks (CNN) from Scratch | 17 Lessons | Free
Generative AI,Creating Problem-Solving Agents using GenAI for Action Composition,2,6 Lessons,Free,2,Generative AI | Creating Problem-Solving Agents using GenAI for Action Composition | 6 Lessons | Free
Generative AI,Improving Real World RAG Systems: Key Challenges & Practical Solutions,12,12 Lessons,Free,12,Generative AI | Improving Real World RAG Systems: Key Challenges & Practical Solutions | 12 Lessons | Free
Generative AI,Framework to Choose the Right LLM for your Business,4,6 Lessons,Free,4,Generative AI | Framework to Choose the Right LLM for your Business | 6 Lessons | Free
Generative AI,Generative AI - A Way of Life - Free Course,22,31 Lessons,Free,22,Generative AI | Generative AI - A Way of Life - Free Course | 31 Lessons | Free
Generative AI,Building LLM Applications using Prompt Engineering - Free Course,11,18 Lessons,Free,11,Generative AI | Building LLM Applications using Prompt Engineering - Free Course | 18 Lessons | Free
Generative AI,MidJourney: From Inspiration to Implementation - Free Course,2,5 Lessons,Free,2,Generative AI | MidJourney: From Inspiration to Implementation - Free Course | 5 Lessons | Free
Generative AI,Building Your first RAG System using LlamaIndex - Free Course,16,12 Lessons,Free,16,Generative AI | Building Your first RAG System using LlamaIndex - Free Course | 12 Lessons | Free
Generative AI,Exploring Stability.AI - Free Course,2,7 Lessons,Free,2,Generative AI | Exploring Stability.AI - Free Course | 7 Lessons | Free
Generative AI,Getting Started with Large Language Models,27,18 Lessons,Free,27,Generative AI | Getting Started with Large Language Models | 18 Lessons | Free
Generative AI,Nano Course: Dreambooth-Stable Diffusion for Custom Images,1,13 Lessons,Free,1,Generative AI | Nano Course: Dreambooth-Stable Diffusion for Custom Images | 13 Lessons | Free
Generative AI,Nano Course: Building Large Language Models for Code,17,10 Lessons,Free,17,Generative AI | Nano Course: Building Large Language Models for Code | 10 Lessons | Free
Generative AI,Nano Course: Cutting Edge LLM Tricks,0,12 Lessons,Free,0,Generative AI | Nano Course: Cutting Edge LLM Tricks | 12 Lessons | Free
Machine Learning Courses,Applied Machine Learning - Beginner to Professional,100,612 Lessons,$250.00,100,Machine Learning Courses | Applied Machine Learning - Beginner to Professional | 612 Lessons | $250.00
Machine Learning Courses,Ace Data Science Interviews,29,59 Lessons,$60.00,29,Machine Learning Courses | Ace Data Science Interviews | 59 Lessons | $60.00
Machine Learning Courses,"Data Science Hacks, Tips and Tricks",92,37 Lessons,Free,92,"Machine Learning Courses | Data Science Hacks, Tips and Tricks | 37 Lessons | Free"
Machine Learning Courses,Getting started with Decision Trees,253,20 Lessons,Free,253,Machine Learning Courses | Getting started with Decision Trees | 20 Lessons | Free
Machine Learning Courses,Loan Prediction Practice Problem (Using Python),359,16 Lessons,Free,359,Machine Learning Courses | Loan Prediction Practice Problem (Using Python) | 16 Lessons | Free
Machine Learning Courses,Big Mart Sales Prediction Using R,80,19 Lessons,Free,80,Machine Learning Courses | Big Mart Sales Prediction Using R | 19 Lessons | Free
Machine Learning Courses,Twitter Sentiment Analysis,127,18 Lessons,Free,127,Machine Learning Courses | Twitter Sentiment Analysis | 18 Lessons | Free
Machine Learning Courses,Pandas for Data Analysis in Python,607,27 Lessons,Free,607,Machine Learning Courses | Pandas for Data Analysis in Python | 27 Lessons | Free
Machine Learning Courses,Support Vector Machine (SVM) in Python and R,117,13 Lessons,Free,117,Machine Learning Courses | Support Vector Machine (SVM) in Python and R | 13 Lessons | Free
Machine Learning Courses,Evaluation Metrics for Machine Learning Models,89,25 Lessons,Free,89,Machine Learning Courses | Evaluation Metrics for Machine Learning Models | 25 Lessons | Free
Machine Learning Courses,Fundamentals of Regression Analysis,144,24 Lessons,Free,144,Machine Learning Courses | Fundamentals of Regression Analysis | 24 Lessons | Free
Machine Learning Courses,Getting Started with scikit-learn (sklearn) for Machine Learning,27,27 Lessons,Free,27,Machine Learning Courses | Getting Started with scikit-learn (sklearn) for Machine Learning | 27 Lessons | Free
Machine Learning Courses,Dimensionality Reduction for Machine Learning,35,23 Lessons,Free,35,Machine Learning Courses | Dimensionality Reduction for Machine Learning | 23 Lessons | Free
Machine Learning Courses,K-Nearest Neighbors (KNN) Algorithm in Python and R,128,10 Lessons,Free,128,Machine Learning Courses | K-Nearest Neighbors (KNN) Algorithm in Python and R | 10 Lessons | Free
Machine Learning Courses,Ensemble Learning and Ensemble Learning Techniques,139,37 Lessons,Free,139,Machine Learning Courses | Ensemble Learning and Ensemble Learning Techniques | 37 Lessons | Free
Machine Learning Courses,Naive Bayes from Scratch,69,19 Lessons,Free,69,Machine Learning Courses | Naive Bayes from Scratch | 19 Lessons | Free
Machine Learning Courses,Winning Data Science Hackathons - Learn from Elite Data Scientists,3,7 Lessons,Free,3,Machine Learning Courses | Winning Data Science Hackathons - Learn from Elite Data Scientists | 7 Lessons | Free
Machine Learning Courses,Hypothesis Testing for Data Science and Analytics,19,19 Lessons,Free,19,Machine Learning Courses | Hypothesis Testing for Data Science and Analytics | 19 Lessons | Free
NLP Courses,Certified Natural Language Processing Master’s Program,0,,$250.00,0,NLP Courses | Certified Natural Language Processing Master’s Program | nan | $250.00
NLP Courses,Introduction to Natural Language Processing,524,21 Lessons,Free,524,NLP Courses | Introduction to Natural Language Processing | 21 Lessons | Free
Projects,Top Data Science Projects for Analysts and Data Scientists,26,36 Lessons,Free,26,Projects | Top Data Science Projects for Analysts and Data Scientists | 36 Lessons | Free
Projects,Getting Started with Git and GitHub for Data Science Professionals,128,20 Lessons,Free,128,Projects | Getting Started with Git and GitHub for Data Science Professionals | 20 Lessons | Free
Projects,Loan Prediction Practice Problem (Using Python),359,16 Lessons,Free,359,Projects | Loan Prediction Practice Problem (Using Python) | 16 Lessons | Free
Projects,Big Mart Sales Prediction Using R,80,19 Lessons,Free,80,Projects | Big Mart Sales Prediction Using R | 19 Lessons | Free
Projects,Twitter Sentiment Analysis,127,18 Lessons,Free,127,Projects | Twitter Sentiment Analysis | 18 Lessons | Free
Tools,Introduction to PyTorch for Deep Learning,64,28 Lessons,Free,64,Tools | Introduction to PyTorch for Deep Learning | 28 Lessons | Free
Tools,Introduction to Python,1587,69 Lessons,Free,1587,Tools | Introduction to Python | 69 Lessons | Free
Tools,Pandas for Data Analysis in Python,607,27 Lessons,Free,607,Tools | Pandas for Data Analysis in Python | 27 Lessons | Free
Tools,Getting Started with scikit-learn (sklearn) for Machine Learning,27,27 Lessons,Free,27,Tools | Getting Started with scikit-learn (sklearn) for Machine Learning | 27 Lessons | Free
Tools,Learn Swift for Data Science,4,21 Lessons,Free,4,Tools | Learn Swift for Data Science | 21 Lessons | Free
Tools,Tableau for Beginners,240,17 Lessons,Free,240,Tools | Tableau for Beginners | 17 Lessons | Free
